;Unnamed: 0;episode;advantage;reward;value_loss;policy_loss;total_loss;cx;cvx;py;px;pav
361738;738;289500;;;;;;-0,102812059;-0,299608707;0,999956911;0,009283107;0,48635605
361739;739;289500;;;;;;-0,113145158;-0,071199223;0,999746698;0,022506419;0,032664038
361740;740;289500;;;;;;-0,109613776;0,128480315;0,999962358;0,008676595;-0,357040048
361741;741;289500;;;;;;-0,113691866;-0,175796583;0,999928933;0,011921775;0,29219687
361742;742;289500;;;;;;-0,132551685;-0,352282733;0,998868084;0,047566277;0,695764005
361743;743;289500;;;;;;-0,144189358;-0,071543083;0,997379659;0,072345118;0,191020489
361744;744;289500;;;;;;-0,138285339;0,185998082;0,99775911;0,066908579;-0,246964723
361745;745;289500;;;;;;-0,118233383;0,374985039;0,999282815;0,037866295;-0,562427223
361746;746;289500;;;;;;-0,092910334;0,389637738;0,999999245;0,001228507;-0,55871135
361747;747;289500;;;;;;-0,080910787;0,057570282;0,999975261;-0,007034069;0,131580681
361748;748;289500;;;;;;-0,076492712;0,072403446;0,999999991;0,000131305;0,096359625
361749;749;289500;;;;;;-0,061464563;0,32099092;0,999887271;-0,015014863;-0,427077562
361750;750;289500;;;;;;-0,040471088;0,316926867;0,999033394;-0,043957672;-0,451801598
361751;751;289500;;;;;;-0,024703784;0,192636713;0,997839846;-0,065693544;-0,261782259
361752;752;289500;;;;;;-0,016765937;0,077160619;0,997051438;-0,076736106;-0,11401701
361753;753;289500;;;;;;-0,015369672;-0,012315543;0,996730418;-0,080798968;-0,031450849
361754;754;289500;;;;;;-0,021852791;-0,149809062;0,997151493;-0,075424801;0,150327593
361755;755;289500;;;;;;-0,038683914;-0,318459243;0,99849162;-0,05490432;0,412196159
361756;756;289500;;;;;;-0,062223956;-0,380162984;0,999687721;-0,024989213;0,484693408
361757;757;289500;;;;;;-0,085288145;-0,331628323;0,99999822;0,001886542;0,366739661
361758;758;289500;;;;;;-0,099652372;-0,149585187;0,999942004;0,010769811;-0,00195887
361759;759;289500;;;;;;-0,109104402;-0,139388189;0,999944979;0,010489923;-0,005652483
361760;760;289500;;;;;;-0,128921792;-0,397026807;0,999446381;0,033270592;0,559310436
361761;761;289500;;;;;;-0,153518856;-0,358834356;0,997598866;0,069256786;0,545686722
361762;762;289500;;;;;;-0,167388543;-0,12157166;0,996027273;0,089048706;0,159208998
361763;763;289500;;;;;;-0,166170135;0,102414973;0,996348002;0,085385353;-0,184727058
361764;764;289500;;;;;;-0,151606172;0,292001992;0,998103942;0,061550962;-0,473085195
361765;765;289500;;;;;;-0,129051849;0,372233659;0,999647468;0,026550685;-0,572735548
361766;766;289500;;;;;;-0,114530161;0,129219487;0,999939255;0,011022043;-0,037344433
361767;767;289500;;;;;;-0,113962188;-0,063923016;0,999661096;0,026032542;0,388618022
361768;768;289500;;;;;;-0,107952803;0,18373023;0,999489302;0,031955221;-0,087211855
361769;769;289500;;;;;;-0,086093254;0,420010895;0,999972513;0,007414448;-0,546949863
361770;770;289500;;;;;;-0,062682793;0,316168278;0,999807782;-0,019606113;-0,333144546
361771;771;289500;;;;;;-0,050144754;0,114539087;0,999678611;-0,025351018;0,05847035
361772;772;289500;;;;;;-0,036788397;0,25514707;0,999385369;-0,035055431;-0,271786392
361773;773;289500;;;;;;-0,010910557;0,474793613;0,997244555;-0,074184219;-0,793849885
361774;774;289500;;;;;;0,009865117;0,219787821;0,994040191;-0,109014212;-0,3804501
361775;775;289500;;;;;;0,005787389;-0,230560407;0,994833094;-0,10152396;0,410736024
361776;776;289500;;;;;;-0,011836644;-0,289434135;0,997205969;-0,074701102;0,412076592
361777;777;289500;;;;;;-0,023299476;-0,104519643;0,997729621;-0,067346882;-0,065981604
361778;778;289500;;;;;;-0,036937434;-0,267920583;0,998123986;-0,061225071;0,189080358
361779;779;289500;;;;;;-0,07227283;-0,696490467;0,999892639;-0,014652983;1,024692893
361780;780;289500;;;;;;-0,114241853;-0,600819707;0,998997503;0,044765941;0,839043617
361781;781;289500;;;;;;-0,140069827;-0,266640604;0,997232205;0,074350048;0,223197132
361782;782;289500;;;;;;-0,147763833;-0,026683103;0,997350636;0,07274413;-0,172414422
361783;783;289500;;;;;;-0,146465048;0,047746211;0,998257687;0,059004998;-0,23315452
361784;784;289500;;;;;;-0,141734198;0,086343221;0,999052339;0,043524991;-0,23915945
361785;785;289500;;;;;;-0,134477735;0,124433853;0,999640931;0,026795692;-0,26581645
361786;786;289500;;;;;;-0,126087874;0,129071951;0,999947554;0,010241504;-0,245450243
361787;787;289500;;;;;;-0,123872377;-0,023570945;0,999969518;0,007807827;0,087048352
361788;788;289500;;;;;;-0,128761038;-0,104582645;0,999775119;0,021206395;0,275044799
361789;789;289500;;;;;;-0,129623801;0,041587345;0,999604291;0,028129379;0,004929621
361790;790;289500;;;;;;-0,121007435;0,184046492;0,999842922;0,017723761;-0,256940484
361791;791;289500;;;;;;-0,111464836;0,121177748;0,999974708;0,007112141;-0,105685495
361792;792;289500;;;;;;-0,109947346;-0,035948284;0,999898973;0,014214212;0,236365929
